id;name;category;price_eur_ttc;stock;delivery_delay;is_featured;description;image_url_1;image_url_2;image_url_3;image_url_4;image_url_5
1;Produit 1 Maison;Maison;16.27;10;Livraison sous 5 à 8 jours;False;Description détaillée du produit 1 dans la catégorie Maison.;https://picsum.photos/seed/p1_1/600/400;https://picsum.photos/seed/p1_2/600/400;https://picsum.photos/seed/p1_3/600/400;;
2;Produit 2 Électronique;Électronique;73.17;20;Livraison sous 2 à 3 jours;False;Description détaillée du produit 2 dans la catégorie Électronique.;https://picsum.photos/seed/p2_1/600/400;https://picsum.photos/seed/p2_2/600/400;https://picsum.photos/seed/p2_3/600/400;;
3;Produit 3 Électronique;Électronique;127.82;15;Livraison sous 3 à 5 jours;True;Description détaillée du produit 3 dans la catégorie Électronique.;https://picsum.photos/seed/p3_1/600/400;https://picsum.photos/seed/p3_2/600/400;https://picsum.photos/seed/p3_3/600/400;;
4;Produit 4 Maison;Maison;195.71;30;Livraison sous 4 à 6 jours;False;Description détaillée du produit 4 dans la catégorie Maison.;https://picsum.photos/seed/p4_1/600/400;;;;
5;Produit 5 Jeux & Jouets;Jeux & Jouets;39.53;50;Livraison sous 3 à 5 jours;True;Description détaillée du produit 5 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p5_1/600/400;https://picsum.photos/seed/p5_2/600/400;;;
6;Produit 6 Maison;Maison;137.87;15;Livraison sous 5 à 8 jours;True;Description détaillée du produit 6 dans la catégorie Maison.;https://picsum.photos/seed/p6_1/600/400;https://picsum.photos/seed/p6_2/600/400;;;
7;Produit 7 Cuisine;Cuisine;108.73;20;Livraison sous 5 à 8 jours;False;Description détaillée du produit 7 dans la catégorie Cuisine.;https://picsum.photos/seed/p7_1/600/400;;;;
8;Produit 8 Cuisine;Cuisine;12.7;5;Livraison sous 2 à 3 jours;False;Description détaillée du produit 8 dans la catégorie Cuisine.;https://picsum.photos/seed/p8_1/600/400;;;;
9;Produit 9 Jeux & Jouets;Jeux & Jouets;103.31;0;Livraison sous 3 à 5 jours;False;Description détaillée du produit 9 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p9_1/600/400;https://picsum.photos/seed/p9_2/600/400;https://picsum.photos/seed/p9_3/600/400;https://picsum.photos/seed/p9_4/600/400;https://picsum.photos/seed/p9_5/600/400
10;Produit 10 Maison;Maison;34.66;10;Livraison sous 4 à 6 jours;True;Description détaillée du produit 10 dans la catégorie Maison.;https://picsum.photos/seed/p10_1/600/400;https://picsum.photos/seed/p10_2/600/400;https://picsum.photos/seed/p10_3/600/400;;
11;Produit 11 Maison;Maison;169.7;0;Livraison sous 5 à 8 jours;False;Description détaillée du produit 11 dans la catégorie Maison.;https://picsum.photos/seed/p11_1/600/400;https://picsum.photos/seed/p11_2/600/400;https://picsum.photos/seed/p11_3/600/400;https://picsum.photos/seed/p11_4/600/400;https://picsum.photos/seed/p11_5/600/400
12;Produit 12 Jeux & Jouets;Jeux & Jouets;129.53;0;Livraison sous 4 à 6 jours;False;Description détaillée du produit 12 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p12_1/600/400;https://picsum.photos/seed/p12_2/600/400;https://picsum.photos/seed/p12_3/600/400;https://picsum.photos/seed/p12_4/600/400;
13;Produit 13 Sport;Sport;50.69;15;Livraison sous 4 à 6 jours;True;Description détaillée du produit 13 dans la catégorie Sport.;https://picsum.photos/seed/p13_1/600/400;https://picsum.photos/seed/p13_2/600/400;;;
14;Produit 14 Maison;Maison;190.57;20;Livraison sous 5 à 8 jours;True;Description détaillée du produit 14 dans la catégorie Maison.;https://picsum.photos/seed/p14_1/600/400;https://picsum.photos/seed/p14_2/600/400;https://picsum.photos/seed/p14_3/600/400;https://picsum.photos/seed/p14_4/600/400;
15;Produit 15 Jeux & Jouets;Jeux & Jouets;25.45;0;Livraison sous 5 à 8 jours;False;Description détaillée du produit 15 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p15_1/600/400;https://picsum.photos/seed/p15_2/600/400;https://picsum.photos/seed/p15_3/600/400;;
16;Produit 16 Sport;Sport;62.11;0;Livraison sous 4 à 6 jours;True;Description détaillée du produit 16 dans la catégorie Sport.;https://picsum.photos/seed/p16_1/600/400;https://picsum.photos/seed/p16_2/600/400;https://picsum.photos/seed/p16_3/600/400;https://picsum.photos/seed/p16_4/600/400;https://picsum.photos/seed/p16_5/600/400
17;Produit 17 Électronique;Électronique;140.99;0;Livraison sous 2 à 3 jours;True;Description détaillée du produit 17 dans la catégorie Électronique.;https://picsum.photos/seed/p17_1/600/400;https://picsum.photos/seed/p17_2/600/400;https://picsum.photos/seed/p17_3/600/400;;
18;Produit 18 Cuisine;Cuisine;116.71;5;Livraison sous 2 à 3 jours;False;Description détaillée du produit 18 dans la catégorie Cuisine.;https://picsum.photos/seed/p18_1/600/400;https://picsum.photos/seed/p18_2/600/400;;;
19;Produit 19 Maison;Maison;177.92;0;Livraison sous 2 à 3 jours;True;Description détaillée du produit 19 dans la catégorie Maison.;https://picsum.photos/seed/p19_1/600/400;https://picsum.photos/seed/p19_2/600/400;https://picsum.photos/seed/p19_3/600/400;https://picsum.photos/seed/p19_4/600/400;
